"Nome","Link"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime Limited","https://en.wikipedia.org/wiki/Anime_Limited"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Edit section: External links","https://en.wikipedia.org/w/index.php?title=March_Comes_in_Like_a_Lion&action=edit&section=14"
"Anime News Network","https://en.wikipedia.org/wiki/Anime_News_Network"
"Template:Kodansha Manga Award - General","https://en.wikipedia.org/wiki/Template:Kodansha_Manga_Award_-_General"
"Template talk:Kodansha Manga Award - General","https://en.wikipedia.org/wiki/Template_talk:Kodansha_Manga_Award_-_General"
"Kodansha Manga Award","https://en.wikipedia.org/wiki/Kodansha_Manga_Award"
"Karyūdo no Seiza (page does not exist)","https://en.wikipedia.org/w/index.php?title=Kary%C5%ABdo_no_Seiza&action=edit&redlink=1"
"Machiko Satonaka","https://en.wikipedia.org/wiki/Machiko_Satonaka"
"P.S. Genki Desu, Shunpei (page does not exist)","https://en.wikipedia.org/w/index.php?title=P.S._Genki_Desu,_Shunpei&action=edit&redlink=1"
"Fumi Saimon","https://en.wikipedia.org/wiki/Fumi_Saimon"
"Akira (manga)","https://en.wikipedia.org/wiki/Akira_(manga)"
"Katsuhiro Otomo","https://en.wikipedia.org/wiki/Katsuhiro_Otomo"
"Okashi na Futari (page does not exist)","https://en.wikipedia.org/w/index.php?title=Okashi_na_Futari&action=edit&redlink=1"
"Jūzō Yamasaki","https://en.wikipedia.org/wiki/J%C5%ABz%C5%8D_Yamasaki"
"Adolf (manga)","https://en.wikipedia.org/wiki/Adolf_(manga)"
"Osamu Tezuka","https://en.wikipedia.org/wiki/Osamu_Tezuka"
"What's Michael?","https://en.wikipedia.org/wiki/What%27s_Michael%3F"
"Makoto Kobayashi (artist)","https://en.wikipedia.org/wiki/Makoto_Kobayashi_(artist)"
"Actor (manga) (page does not exist)","https://en.wikipedia.org/w/index.php?title=Actor_(manga)&action=edit&redlink=1"
"Kaiji Kawaguchi","https://en.wikipedia.org/wiki/Kaiji_Kawaguchi"
"Bonobono","https://en.wikipedia.org/wiki/Bonobono"
"Mikio Igarashi","https://en.wikipedia.org/wiki/Mikio_Igarashi"
"Be-Bop High School","https://en.wikipedia.org/wiki/Be-Bop_High_School"
"Kazuhiro Kiuchi","https://en.wikipedia.org/wiki/Kazuhiro_Kiuchi"
"Showa: A History of Japan","https://en.wikipedia.org/wiki/Showa:_A_History_of_Japan"
"Shigeru Mizuki","https://en.wikipedia.org/wiki/Shigeru_Mizuki"
"The Silent Service","https://en.wikipedia.org/wiki/The_Silent_Service"
"Kaiji Kawaguchi","https://en.wikipedia.org/wiki/Kaiji_Kawaguchi"
"Gorillaman (page does not exist)","https://en.wikipedia.org/w/index.php?title=Gorillaman&action=edit&redlink=1"
"Harold Sakuishi","https://en.wikipedia.org/wiki/Harold_Sakuishi"
"Kachō Kōsaku Shima","https://en.wikipedia.org/wiki/Kach%C5%8D_K%C5%8Dsaku_Shima"
"Kenshi Hirokane","https://en.wikipedia.org/wiki/Kenshi_Hirokane"
"Waru (manga)","https://en.wikipedia.org/wiki/Waru_(manga)"
"Jun Fukami (page does not exist)","https://en.wikipedia.org/w/index.php?title=Jun_Fukami&action=edit&redlink=1"
"Naniwa Kin'yūdō","https://en.wikipedia.org/wiki/Naniwa_Kin%27y%C5%ABd%C5%8D"
"Yūji Aoki","https://en.wikipedia.org/wiki/Y%C5%ABji_Aoki"
"Parasyte","https://en.wikipedia.org/wiki/Parasyte"
"Hitoshi Iwaaki","https://en.wikipedia.org/wiki/Hitoshi_Iwaaki"
"Tetsujin Ganma (page does not exist)","https://en.wikipedia.org/w/index.php?title=Tetsujin_Ganma&action=edit&redlink=1"
"Yasuhito Yamamoto","https://en.wikipedia.org/wiki/Yasuhito_Yamamoto"
"Hanada Shōnen Shi","https://en.wikipedia.org/wiki/Hanada_Sh%C5%8Dnen_Shi"
"Makoto Isshiki","https://en.wikipedia.org/wiki/Makoto_Isshiki"
"Ping-Pong Club","https://en.wikipedia.org/wiki/Ping-Pong_Club"
"Minoru Furuya","https://en.wikipedia.org/wiki/Minoru_Furuya"
"Dragon Head","https://en.wikipedia.org/wiki/Dragon_Head"
"Minetarō Mochizuki","https://en.wikipedia.org/wiki/Minetar%C5%8D_Mochizuki"
"Kaiji (manga)","https://en.wikipedia.org/wiki/Kaiji_(manga)"
"Nobuyuki Fukumoto","https://en.wikipedia.org/wiki/Nobuyuki_Fukumoto"
"Sōten Kōro","https://en.wikipedia.org/wiki/S%C5%8Dten_K%C5%8Dro"
"King Gonta (page does not exist)","https://en.wikipedia.org/w/index.php?title=King_Gonta&action=edit&redlink=1"
"Wangan Midnight","https://en.wikipedia.org/wiki/Wangan_Midnight"
"Michiharu Kusunoki","https://en.wikipedia.org/wiki/Michiharu_Kusunoki"
"Vagabond (manga)","https://en.wikipedia.org/wiki/Vagabond_(manga)"
"Takehiko Inoue","https://en.wikipedia.org/wiki/Takehiko_Inoue"
"20th Century Boys","https://en.wikipedia.org/wiki/20th_Century_Boys"
"Naoki Urasawa","https://en.wikipedia.org/wiki/Naoki_Urasawa"
"Zipang (manga)","https://en.wikipedia.org/wiki/Zipang_(manga)"
"Kaiji Kawaguchi","https://en.wikipedia.org/wiki/Kaiji_Kawaguchi"
"The Life of Genius Professor Yanagizawa","https://en.wikipedia.org/wiki/The_Life_of_Genius_Professor_Yanagizawa"
"Kazumi Yamashita (artist)","https://en.wikipedia.org/wiki/Kazumi_Yamashita_(artist)"
"Basilisk (manga)","https://en.wikipedia.org/wiki/Basilisk_(manga)"
"Masaki Segawa (page does not exist)","https://en.wikipedia.org/w/index.php?title=Masaki_Segawa&action=edit&redlink=1"
"Dragon Zakura","https://en.wikipedia.org/wiki/Dragon_Zakura"
"Norifusa Mita","https://en.wikipedia.org/wiki/Norifusa_Mita"
"Mushishi","https://en.wikipedia.org/wiki/Mushishi"
"Yuki Urushibara","https://en.wikipedia.org/wiki/Yuki_Urushibara"
"Big Windup!","https://en.wikipedia.org/wiki/Big_Windup!"
"Asa Higuchi","https://en.wikipedia.org/wiki/Asa_Higuchi"
"Moyasimon: Tales of Agriculture","https://en.wikipedia.org/wiki/Moyasimon:_Tales_of_Agriculture"
"Masayuki Ishikawa","https://en.wikipedia.org/wiki/Masayuki_Ishikawa"
"Oh My Goddess!","https://en.wikipedia.org/wiki/Oh_My_Goddess!"
"Kōsuke Fujishima","https://en.wikipedia.org/wiki/K%C5%8Dsuke_Fujishima"
"Giant Killing","https://en.wikipedia.org/wiki/Giant_Killing"
"Masaya Tsunamoto (page does not exist)","https://en.wikipedia.org/w/index.php?title=Masaya_Tsunamoto&action=edit&redlink=1"
"March Comes in like a Lion","https://en.wikipedia.org/wiki/March_Comes_in_like_a_Lion"
"Chica Umino","https://en.wikipedia.org/wiki/Chica_Umino"
"Space Brothers (manga)","https://en.wikipedia.org/wiki/Space_Brothers_(manga)"
"Chūya Koyama (page does not exist)","https://en.wikipedia.org/w/index.php?title=Ch%C5%ABya_Koyama&action=edit&redlink=1"
"Vinland Saga (manga)","https://en.wikipedia.org/wiki/Vinland_Saga_(manga)"
"Makoto Yukimura","https://en.wikipedia.org/wiki/Makoto_Yukimura"
"Gurazeni","https://en.wikipedia.org/wiki/Gurazeni"
"Yūji Moritaka (page does not exist)","https://en.wikipedia.org/w/index.php?title=Y%C5%ABji_Moritaka&action=edit&redlink=1"
"Keiji Adachi (page does not exist)","https://en.wikipedia.org/w/index.php?title=Keiji_Adachi&action=edit&redlink=1"
"Prison School","https://en.wikipedia.org/wiki/Prison_School"
"Akira Hiramoto","https://en.wikipedia.org/wiki/Akira_Hiramoto"
"Shōwa Genroku Rakugo Shinjū","https://en.wikipedia.org/wiki/Sh%C5%8Dwa_Genroku_Rakugo_Shinj%C5%AB"
"Haruko Kumota (page does not exist)","https://en.wikipedia.org/w/index.php?title=Haruko_Kumota&action=edit&redlink=1"
"Knights of Sidonia","https://en.wikipedia.org/wiki/Knights_of_Sidonia"
"Tsutomu Nihei","https://en.wikipedia.org/wiki/Tsutomu_Nihei"
"Kōnodori","https://en.wikipedia.org/wiki/K%C5%8Dnodori"
"Yū Suzunoki","https://en.wikipedia.org/wiki/Y%C5%AB_Suzunoki"
"The Fable (page does not exist)","https://en.wikipedia.org/w/index.php?title=The_Fable&action=edit&redlink=1"
"Katsuhisa Minami (page does not exist)","https://en.wikipedia.org/w/index.php?title=Katsuhisa_Minami&action=edit&redlink=1"
"Template:Manga Taishō","https://en.wikipedia.org/wiki/Template:Manga_Taish%C5%8D"
"Template talk:Manga Taishō","https://en.wikipedia.org/wiki/Template_talk:Manga_Taish%C5%8D"
"Manga Taishō","https://en.wikipedia.org/wiki/Manga_Taish%C5%8D"
"Gaku: Minna no Yama","https://en.wikipedia.org/wiki/Gaku:_Minna_no_Yama"
"Chihayafuru","https://en.wikipedia.org/wiki/Chihayafuru"
"Yuki Suetsugu","https://en.wikipedia.org/wiki/Yuki_Suetsugu"
"Thermae Romae","https://en.wikipedia.org/wiki/Thermae_Romae"
"Mari Yamazaki","https://en.wikipedia.org/wiki/Mari_Yamazaki"
"Chica Umino","https://en.wikipedia.org/wiki/Chica_Umino"
"Silver Spoon (manga)","https://en.wikipedia.org/wiki/Silver_Spoon_(manga)"
"Hiromu Arakawa","https://en.wikipedia.org/wiki/Hiromu_Arakawa"
"Umimachi Diary","https://en.wikipedia.org/wiki/Umimachi_Diary"
"Akimi Yoshida","https://en.wikipedia.org/wiki/Akimi_Yoshida"
"A Bride's Story","https://en.wikipedia.org/wiki/A_Bride%27s_Story"
"Kaoru Mori","https://en.wikipedia.org/wiki/Kaoru_Mori"
"Blank Canvas: My So-Called Artist's Journey","https://en.wikipedia.org/wiki/Blank_Canvas:_My_So-Called_Artist%27s_Journey"
"Akiko Higashimura","https://en.wikipedia.org/wiki/Akiko_Higashimura"
"Golden Kamuy","https://en.wikipedia.org/wiki/Golden_Kamuy"
"Hibiki: Shōsetsuka ni Naru Hōhō","https://en.wikipedia.org/wiki/Hibiki:_Sh%C5%8Dsetsuka_ni_Naru_H%C5%8Dh%C5%8D"
"Beastars","https://en.wikipedia.org/wiki/Beastars"
"Template:Tezuka Osamu Cultural Prize","https://en.wikipedia.org/wiki/Template:Tezuka_Osamu_Cultural_Prize"
"Template talk:Tezuka Osamu Cultural Prize","https://en.wikipedia.org/wiki/Template_talk:Tezuka_Osamu_Cultural_Prize"
"Tezuka Osamu Cultural Prize","https://en.wikipedia.org/wiki/Tezuka_Osamu_Cultural_Prize"
